method,overall_L1,late_slope,knee_time,EDT,early_energy
Baseline,0.1129718,0.14613581374287604,0.15423948988318442,0.09275790583342314,0.05875396085903049
Top1,0.56887186,0.5114813789725303,0.4777053341269493,0.5061502546072006,0.7801505152136088
Top2,0.42365003,0.5396801486611367,0.463342921435833,0.33448924534022806,0.3570878002792597
Top3,0.5204245,0.6171056374907493,0.5607573240995407,0.3218990579247475,0.5819356990978122
